code,display_uk,display_en,parent_code,chapter,is_leaf
A00,Холера,Cholera,,I,false
A00.9,"Холера, неуточнена",Cholera unspecified,A00,I,true
A09,"Діарея та гастроентерит імовірно інфекційного походження",Infectious gastroenteritis and colitis unspecified,,I,true
A15,"Туберкульоз органів дихання, підтверджений бактеріологічно та гістологічно",Respiratory tuberculosis bacteriologically and histologically confirmed,,I,false
A15.0,"Туберкульоз легень, підтверджений бактеріоскопічно",Tuberculosis of lung confirmed by sputum microscopy,A15,I,true
A16,"Туберкульоз органів дихання, не підтверджений бактеріологічно або гістологічно",Respiratory tuberculosis not confirmed bacteriologically or histologically,,I,true
A41,Інший сепсис,Other sepsis,,I,false
A41.9,"Септицемія, неуточнена",Sepsis unspecified,A41,I,true
A49,"Бактеріальна інфекція неуточненої локалізації",Bacterial infection of unspecified site,,I,true
B01,Вітряна віспа,Varicella (chickenpox),,I,true
B02,Оперізувальний лишай,Zoster (herpes zoster),,I,true
B18,Хронічний вірусний гепатит,Chronic viral hepatitis,,I,false
B18.1,Хронічний вірусний гепатит B без дельта-агента,Chronic viral hepatitis B without delta-agent,B18,I,true
B18.2,Хронічний вірусний гепатит C,Chronic viral hepatitis C,B18,I,true
B20,"Хвороба, зумовлена ВІЛ",HIV disease,,I,true
B34,Вірусна інфекція неуточненої локалізації,Viral infection of unspecified site,,I,false
B34.9,"Вірусна інфекція, неуточнена",Viral infection unspecified,B34,I,true
B37,Кандидоз,Candidiasis,,I,false
B37.0,Кандидозний стоматит,Candidal stomatitis,B37,I,true
C18,Злоякісне новоутворення ободової кишки,Malignant neoplasm of colon,,II,false
C18.9,"Злоякісне новоутворення ободової кишки, неуточнене",Malignant neoplasm of colon unspecified,C18,II,true
C34,Злоякісне новоутворення бронхів та легені,Malignant neoplasm of bronchus and lung,,II,false
C34.9,"Злоякісне новоутворення бронхів або легені, неуточнене",Malignant neoplasm of bronchus or lung unspecified,C34,II,true
C50,Злоякісне новоутворення молочної залози,Malignant neoplasm of breast,,II,false
C50.9,"Злоякісне новоутворення молочної залози, неуточнене",Malignant neoplasm of breast unspecified,C50,II,true
C61,Злоякісне новоутворення передміхурової залози,Malignant neoplasm of prostate,,II,true
C78,Вторинне злоякісне новоутворення органів дихання та травлення,Secondary malignant neoplasm of respiratory and digestive organs,,II,true
D50,Залізодефіцитна анемія,Iron deficiency anaemia,,III,false
D50.0,"Залізодефіцитна анемія, вторинна внаслідок крововтрати",Iron deficiency anaemia secondary to blood loss,D50,III,true
D50.9,"Залізодефіцитна анемія, неуточнена",Iron deficiency anaemia unspecified,D50,III,true
