phrase,language,specialty,section_hint,source_kind,source_ref,tier,review_engine,risk_flags
alert and oriented x3,en,general,examination,seed,seed:migration-0026,,human,
blood pressure 120/80 mmHg,en,cardiology,examination,seed,seed:migration-0026,,human,
chest pain radiating to left arm,en,cardiology,anamnesis,seed,seed:migration-0026,,human,
continue beta-blocker therapy,en,cardiology,plan,seed,seed:migration-0026,,human,
follow up in two weeks,en,general,follow_up,seed,seed:migration-0026,,human,
heart rate 72 bpm,en,cardiology,examination,seed,seed:migration-0026,,human,
history of myocardial infarction,en,cardiology,anamnesis,seed,seed:migration-0026,,human,
no acute distress,en,general,examination,seed,seed:migration-0026,,human,
regular sinus rhythm,en,cardiology,examination,seed,seed:migration-0026,,human,
shortness of breath on exertion,en,cardiology,anamnesis,seed,seed:migration-0026,,human,
HbA1c контроль через 3 місяці,uk,endocrinology,follow_up,seed,seed:migration-0026,,human,
АТ 120/80 мм рт ст,uk,cardiology,examination,seed,seed:migration-0026,,human,
Гіпертонічна хвороба,uk,general,diagnosis,terminology,nk025:2026-08-12:d11a8edc54146178ed224331a122cd8afa0e5e526511fb3bbc90d92d36a005bd,2,human,
ЧСС 72 за хвилину,uk,cardiology,examination,seed,seed:migration-0026,,human,
без вогнищевої патології,uk,radiology,examination,seed,seed:migration-0026,,human,
біль за грудиною стискаючого характеру,uk,cardiology,anamnesis,seed,seed:migration-0026,,human,
глікемія натще,uk,endocrinology,examination,seed,seed:migration-0026,,human,
гіпертонічна хвороба II ст,uk,cardiology,diagnosis,seed,seed:migration-0026,,human,
діагноз Гіпертонічна хвороба,uk,general,diagnosis,terminology,nk025:2026-08-12:d11a8edc54146178ed224331a122cd8afa0e5e526511fb3bbc90d92d36a005bd,2,human,
загальний стан задовільний,uk,general,examination,seed,seed:migration-0026,,human,
задишка при фізичному навантаженні,uk,cardiology,anamnesis,seed,seed:migration-0026,,human,
легеневі поля прозорі,uk,radiology,examination,seed,seed:migration-0026,,human,
повторна консультація через 2 тижні,uk,cardiology,follow_up,seed,seed:migration-0026,,human,
продовжити прийом бета-блокаторів,uk,cardiology,plan,seed,seed:migration-0026,,human,
ритм синусовий правильний,uk,cardiology,examination,seed,seed:migration-0026,,human,
свідомість ясна,uk,general,examination,seed,seed:migration-0026,,human,
скарг на момент огляду не пред’являє,uk,general,anamnesis,seed,seed:migration-0026,,human,
температура тіла нормальна,uk,general,examination,seed,seed:migration-0026,,human,
тони серця ясні ритмічні,uk,cardiology,examination,seed,seed:migration-0026,,human,
цукровий діабет 2 типу,uk,endocrinology,diagnosis,seed,seed:migration-0026,,human,
шкіра звичайного кольору,uk,general,examination,seed,seed:migration-0026,,human,
інфаркт міокарда в анамнезі,uk,cardiology,anamnesis,seed,seed:migration-0026,,human,
